Pistachio Pistachio	Pistachio Ice Cream with Lightly Roasted Pistachios	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/pistachio-pistachio-landing-open-2019.png
Pucker Upper	Raspberry Sorbet with an Extra Tart Lemonade Sorbet Swirl & Sour Sugar Bits	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/pucker-upper-landing-open.png
Pumpkin Cheesecake	Pumpkin Cheesecake Ice Cream with a Graham Cracker Swirl	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/pumpkin-cheesecake-landing-open.png
Red, White & Blueberry	Blueberry & Raspberry Ice Cream swirled with Vanilla Ice Cream with Strawberries & Shortbread Pieces	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/red-white-and-blueberry-landing-open.png
S'mores	Chocolate Ice Cream with Fudge Chunks, Toasted Marshmallow & Graham Cracker Swirls	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/smores-landing-open.png
Salted Caramel Almond	Vanilla  Bean Ice Cream with Roasted Almond Slivers, Fudge Flakes & a Salted Caramel Swirl	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/salted-caramel-almond-landing-open.png
Strawberry Cheesecake	Strawberry Cheesecake Ice Cream with Strawberries & a Thick Graham Cracker Swirl	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/strawberry-cheesecake-landing-open.png
The Tonight Dough®	Caramel & Chocolate Ice Creams with Chocolate Cookie Swirls & Gobs of Chocolate Chip Cookie Dough & Peanut Butter Cookie Dough.	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/tonight-dough-landing-open.png
Triple Caramel Chunk®	Caramel Ice Cream with a Swirl of Caramel & Fudge-Covered Caramel Chunks	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/triple-caramel-chunk-landing-open.png
Urban Bourbon™	Burnt Caramel Ice Cream with Almonds, Fudge Flakes & Bourbon Caramel Swirls	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/urban-bourbon-landing-open.png
Vanilla	Vanilla Ice Cream	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/vanilla-landing-open.png
Vanilla Caramel Fudge	Vanilla Ice Cream with Swirls of Caramel & Fudge	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/vanilla-caramel-fudge-landing-open-2019.png
Boom Chocolatta™ Cookie Core	Mocha & Caramel Ice Creams with Chocolate Cookies, Fudge Flakes & a Chocolate Cookie Core	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/boom-chocolatta-core-landing-2019.png
Chocolate Chip Cookie Dough Core	Cookie Milk Ice Cream with Fudge Chips & a Chocolate Chip Cookie Dough Core 	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/choc-chip-cookie-dough-core-landing.png
Sweet Like Sugar Cookie Dough Core	Sweet Cream Ice Cream with a hint of Almond flavor & Shortbread Cookies & Cherry Ice Cream with Cherries & a Sugar Cookie Dough Core	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/sweet-like-sugar-cookie-core-landing.png
Wake & " No Bake "  Cookie Dough Core	Vanilla Ice Cream with Peanut Butter Cookies, Peanut Butter Ice Cream with Fudge Chips & a No Bake Cookie Dough Core 	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/wake-no-bake-cookie-core-landing.png
Brownie Batter Core	Chocolate & Vanilla Ice Creams with Fudge Brownies & a Brownie Batter Core	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/brownie-batter-core-landing-2019.png
Cookies & Cream Cheesecake Core	Chocolate & Cheesecake Ice Creams with Chocolate Cookies & a Cheesecake Core	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/cookies-and-cream-cheesecake-landing.png
Karamel Sutra® Core	Chocolate & Caramel Ice Creams with Fudge Chips & a Soft Caramel Core	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/karamel-sutra-landing.png
Peanut Butter Fudge Core	Chocolate & Peanut Butter Ice Creams with Mini Peanut Butter Cups & a Peanut Butter Fudge Core	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/peanut-butter-fudge-landing.png
Salted Caramel Core	Sweet Cream Ice Cream with Blonde Brownies & a Salted Caramel Core	https://www.benjerry.com/files/live/sites/systemsite/files/flavors/products/us/pint/open-closed-pints/salted-caramel-landing.png
